tweet_text
And Covid-19 says hi. 
"RT @drsimonegold: CNN: Where bad news is bad but good news is also bad!

In India HCQ has been widely available prophylactically since Marc…"
Thomas Issac discharged from hospital after recovering from COVID-19  #Kerala
"RT @SenKatyG: BREAKING: Canberra's ANU “will become a smaller university” with 215 jobs to go, on top of 250 voluntary redundancies. 

Canb…"
"RT @cnnphilippines: Malacañang shrugs off Vice President Leni Robredo’s remarks on the supposed lack of system in the COVID-19 response, sa…"
Pediatrics -  The Majority Of Children Who Die From COVID-19 Are Children Of Color  - Help b… 
RT @DailyCaller: Chinese virologist whistleblower Dr. Li-Meng Yan tells Tucker Carlson that COVID-19 was created and deliberately unleashed…
RT @SarahAitken11: The COVID-19 Coronavirus hasn’t changed @AneurinBevanUHB hospitals have small but rising numbers of patients again. We h…
"RT @BarryRight2: #SOTEU  : The contents of @Vonderleyen 's  speech of tomorrow were leaked !!
@EU_Commission @EUparlement @eucopresident @E…"
"RT @RyanAFournier: Chinese Virologist Dr. Li-Meng Yan was suspended from Twitter...

Because she said the Chinese Communist Government crea…"
"COVID-19 Impact on Global Maritime Mobility.

Millefiori, Braca, Zissis, Spiliopoulos, Marano, Willett, Carniel:… "
RT @OLegwale: Yesterday was one those emotional trips I had to take. I’m a HR Practitioner and I lost my job due to COVID-19. Unfortunately…
"RT @COVIDNewsByMIB: #CoronaVirusUpdates:

✅India's #COVID19 recovery rate improves to 78.53% as on September 16, 2020

Steady improvement…"
RT @OldCodger15: A good article debunking masks:  The CoVID-19 pandemic is about viral transmission. Surgical and cloth masks do nothing to…
"RT @magnianon: HUGE

Respected Chinese Virologist Dr. Li-Meng Yan appeared on @TuckerCarlson claiming COVID-19 was created in a Chinese Mil…"
Formidable challenges await as Suga set to take over as Japan PM: The 71-year-old will need all his political skill… 
"RT @InvescoUS: How is the world being shaped by COVID-19? That’s the topic of a new series from Invesco. To start, we look at the changes t…"
"RT @itvcycling: Due to the covid-19 pandemic the planet effectively shutdown, meaning our public spaces and roads became quieter almost ove…"
"RT @abcnews: Man faces $5,000 fine for allegedly 'hitchhiking' into the NT to avoid COVID-19 quarantine "
Covid-19 &amp; Business Interruption Loans: we can help guarantors-  
"If anyone has been diagnosed with the disease,COVID-19,and meets certain criteria,you may wish to enroll in a rando… "
"RT @MeidasTouch:  NEW VIDEO

200,000+ Americans are now dead because Trump downplayed COVID-19 #TrumpLied200KDied "
"RT @JamesGRickards: There is one story that may be bigger than the elections, the riots, and the pandemic, but it will take a few years to…"
⁦We need to do more than demand ‘some evidence of safety and effectiveness’. We need to ensure that all the evidenc… 
Relationship between the perceived strength of countries’ primary care system and COVID-19 mortality: an internatio… 
RT @Destiny3650: I’m just going to leave this here! WTF? They finally admitted it...the definition of death by COVID-19!!!🤔 
"@cmohry @cmohry  Respected CM Sir
I am Rajni Sharma from yamumanagar . I was  recommended  for  Covid 19  test  by… "
RT @DailyCaller: Chinese virologist whistleblower Dr. Li-Meng Yan tells Tucker Carlson that COVID-19 was created and deliberately unleashed…
RT @ramprasad_c: The amount of evidence piling up in favor of Vitamin D is rather incredible. Deficiency seems to be an independent risk fa…
Relationship between the perceived strength of countries’ primary care system and COVID-19 mortality: an internatio… 
"RT @JoeT_2: Her reward: Twitter suspended her account!!

Note to Senator Josh Hawley:
Since you are one of the very few Senators that gives…"
"RT @drake_lab: Thoughts on a new study showing immunity to human coronaviruses wanes in as little as six months #COVID19 @ForbesScience 

h…"
RT @gatewaypundit: Dr. Lawrence Sellin: The Unequivocal Evidence Chinese Scientist Dr. Li-Meng Yan Provides Proof COVID-19 was Created by C…
"This is the way how we communicate each other during covid-19 :"" 
sweet ♡ "
RT @PTI_News: 17 people test COVID-19 positive at Delhi BJP office: party's Delhi unit media cell head
Relationship between the perceived strength of countries’ primary care system and COVID-19 mortality: an internatio… 
"RT @samanthamarika1: Covid-19 is real BUT, it was created with the intention to kill."
"RT @gitts: Making it big at 19. Elsa, Azziad, Rono and not to forget the biggest of them all Covid..."
"RT @komonews: The Washington Department of Health reported 327 new COVID-19 cases and nine additional deaths, bringing the state's death to…"
RT @Willie700WLW: In the last 8 months in Hamilton County and the City of Cincinnati... There has been ZERO Persons under the age of 19 hav…
"COVID-19 Impact on Global Maritime Mobility.

Millefiori, Braca, Zissis, Spiliopoulos, Marano, Willett, Carniel:… "
"RT @PawanKalyan: An appeal to YCP Govt on behalf AP construction workers:

1) “22 lakh registered construction workers in the state; first…"
"RT @hmberents: A reminder that Crown Casino got $73M in govt support, &amp; unis got nothing. 

ANU is today’s uni to announce 465 jobs cut. Ev…"
RT @DawnParry: @MichaelLCrick Interesting isn’t it that Weston-super-Mare’s Tory MP John Penrose is married to Dame Dido Harding who’s in c…
"RT @MooseAllain: How the fuck have we lived with Covid-19 for so long and people STILL haven’t understood that if they get it, it isn’t jus…"
"RT @SwarajyaMag: Delhi: 79 Of 257 Recovered Covid-19 Patients Whose Blood Was Taken During August Sero Survey Had No Antibodies
"
"RT @Fangamer: ""Stay Determined"" was designed by Toby Fox for UNDERTALE's fifth anniversary. 

$6 from each sale goes to the United Way COVI…"
"RT @LangaMahesh: With over 100 deaths since Sunday, Rajkot emerges new epicentre of COVID-19 in Gujarat- The Hindu "
"RT @Fangamer: ""Stay Determined"" was designed by Toby Fox for UNDERTALE's fifth anniversary. 

$6 from each sale goes to the United Way COVI…"
"RT @Omkar_Raii: While global FDI has declined by 1% in 2019, India receiving over $20 billion #FDI during pandemic signifies the ground-bre…"
